Empresa,Tipo de Empresa,Tipo de Site,Site
3M,Indústria Química,Workday,https://3m.wd1.myworkdayjobs.com/pt-BR/Search
Accenture,Consultoria,Accenture,https://www.accenture.com/pt-pt/careers/jobsearch?clp=1&jk=&sb=1&pg=1&vw=1&is_rj=0
Agi,Banco,Kenoby,https://jobs.kenoby.com/agi
Ágora Investimentos,Casa de Investimentos,LinkedIn,https://www.linkedin.com/company/agorainvestimentos/jobs/
Alelo,Benefícios,Kenoby,https://jobs.kenoby.com/alelo
Alura,Educação,Gupy,https://grupoalura.gupy.io/
Ambev,Bebidas,Gupy,https://ambev.gupy.io/
Ambev Tech,Tecnologia,Gupy,https://ambevtech.gupy.io/
"B2W (Americanas, Submarino e Shoptime)",Varejo,Gupy,https://b2w.gupy.io/
Banco ABC,Banco,Gupy,https://abcbrasil.gupy.io/
Banco Bari,Banco,Gupy,https://bancobari.gupy.io/
Banco BV,Banco,Lever,https://jobs.lever.co/bv
Banco Daycoval,Banco,Gupy,https://bancodaycoval.gupy.io/
Banco Fibra,Banco,Gupy,https://bancofibra.gupy.io/
Banco Master,Banco,Gupy,https://bancomaster.gupy.io/
Banco Pan,Banco,Greenhouse,https://boards.greenhouse.io/bancopan
banQi,Soluções de Pagamento,Gupy,https://banqi.gupy.io/
BMG,Banco,Gupy,https://bmg.gupy.io/
BMW Group Brasil,Automóvel,Gupy,https://bmw.gupy.io/
C&A,Varejo,Gupy,https://cea.gupy.io/
C6 Bank,Banco,Greenhouse,https://boards.greenhouse.io/c6bank
Cielo,Soluções de Pagamento,Gupy,https://cielo.gupy.io/
Creditas (Internacional),Financeira,Greenhouse,https://boards.greenhouse.io/creditasen
Creditas (Nacional),Financeira,Greenhouse,https://boards.greenhouse.io/creditas
Crefisa,Banco,Gupy,https://crefisaesuasempresasparceiras.gupy.io/
CVC Corp,Viagens,Gupy,https://cvccorp.gupy.io/
CVP (Caixa Vida e Previdência),Seguradora,Gupy,https://caixavidaeprevidencia.gupy.io/
Dasa Tecnologia,Saúde,Gupy,https://dasatecnologia.gupy.io/
DATAB,Educação,Gupy,https://datab.gupy.io/
DiDi (99),Tecnologia,iCIMS,https://careers-didiglobal.icims.com/jobs/search?ss=1&hashed=-625919479
Digio,Banco,Gupy,https://digio.gupy.io/
Ebanx,Soluções de Pagamento,Greenhouse,https://boards.greenhouse.io/ebanx
Elo,Soluções de Pagamento,Gupy,https://vempraelo.gupy.io/
Embraer,Viagens,Gupy,https://embraer.gupy.io/
EMS,Farmácia,Gupy,https://ems.gupy.io/
Genial Investimentos,Corretora,Gupy,https://genial.gupy.io/
Getnet,Soluções de Pagamento,Gupy,https://getnet.gupy.io/
Globo,Televisão,Gupy,https://globo.gupy.io/
GOL Linhas Aéreas,Viagens,Gupy,https://golcarreiras.gupy.io/
GPA,Varejo,Gupy,https://digitalgpa.gupy.io/
Grupo Boticário,Cosméticos,Gupy,https://grupoboticario.gupy.io/
Grupo Carrefour,Varejo,InfoJobs,https://corporativo-grupocarrefourbrasil.pandape.infojobs.com.br/
Grupo L'Occitane,Cosméticos,Gupy,https://sejaloccitane.gupy.io/
Gupy,Recrutamento,Gupy,https://vempra.gupy.io/
Habib's,Restaurante,Gupy,https://habibs.gupy.io/
Itaú,Banco,Gupy,https://vemproitau.gupy.io/
Livelo,Recompensas,Gupy,https://livelo.gupy.io/
McDonalds,Restaurante,Kenoby,https://jobs.kenoby.com/mcdonalds
Meliuz,Recompensas,Gupy,https://meliuz.gupy.io/
Natura&CO (Avon + The Body Shop),Cosméticos,Workday,https://avon.wd5.myworkdayjobs.com/NaturaAndCoCareers
Neon,Banco,Lever,https://jobs.lever.co/neon
Notion,Tecnologia,Greenhouse,https://boards.greenhouse.io/notion
Nubank,Banco,Greenhouse,https://boards.greenhouse.io/nubank
Original,Banco,Gupy,https://somosoriginal.gupy.io/
PagSeguro,Banco,Gupy,https://pagseguro.gupy.io/
Positivo Tecnologia,Tecnologia,Gupy,https://positivotecnologia.gupy.io/
QUOD,Birô de Crédito,Gupy,https://vempraquod.gupy.io/
Raizen,Energia,Gupy,https://genteraizen.gupy.io/
RecargaPay,Tecnologia,Workable,https://apply.workable.com/recargapay/
Record,Televisão,Gupy,https://recordtv.gupy.io/
Rede,Soluções de Pagamento,Gupy,https://vemprarede.gupy.io/
Santander,Banco,Gupy,https://santanderbrasil.gupy.io/
Sicredi,Cooperativa,Gupy,https://sicredi.gupy.io/
TakeBlip,Tecnologia,Gupy,https://takeblip.gupy.io/
Via,Varejo,Gupy,https://viavarejo.gupy.io/
Via (Corporativo),Varejo,Gupy,https://corporativovia.gupy.io/
Via (HUB),Varejo,Gupy,https://viahub.gupy.io/
Vivo,Telefonia,Gupy,https://vivo.gupy.io/
Vivo Digital,Telefonia,Gupy,https://vivodigital.gupy.io/
VR,Benefícios,Gupy,https://vr.gupy.io/
XP Inc,Banco,Greenhouse,https://boards.greenhouse.io/xpinc
Zé Delivery,Entregas,Kenoby,https://jobs.kenoby.com/zedelivery
Safra,Banco,Kenoby,https://jobs.kenoby.com/safrainvestimentos
Banco Sofisa,Banco,Kenoby,https://jobs.kenoby.com/bancosofisa
Cacau Show,Varejo,Kenoby,https://jobs.kenoby.com/cacaushow
Centauro,Varejo,Kenoby,https://jobs.kenoby.com/centauro
Hering,Varejo,Kenoby,https://jobs.kenoby.com/ciahering
ClearSale,Consultoria,Kenoby,https://jobs.kenoby.com/clearsale
Dotz,Benefícios,Kenoby,https://jobs.kenoby.com/dotz
Energisa (Corp),Energia,Kenoby,https://jobs.kenoby.com/grupoenergisa
Energisa (Tecnologia),Energia,Kenoby,https://jobs.kenoby.com/grupoenergisatecnologia
Hotmrat,Tecnologia,Kenoby,https://jobs.kenoby.com/hotmart
KPMG,Consultoria,Kenoby,https://jobs.kenoby.com/Kpmg
Centauro,Varejo,Kenoby,https://jobs.kenoby.com/centauro
Localiza,Locação,Kenoby,https://jobs.kenoby.com/localiza/
Localiza,Locação,Gupy,https://localizavagas.gupy.io/
Unimed Brasil,Saúde,Kenoby,https://jobs.kenoby.com/unimeddobrasil
MJV,Consultoria,Kenoby,https://jobs.kenoby.com/mjv/
Banco Rodobens,Banco,Kenoby,https://jobs.kenoby.com/rodobens
TIVIT,Tecnologia,Kenoby,https://jobs.kenoby.com/tivit
Toyota Brasil,Automóvel,Kenoby,https://jobs.kenoby.com/toyota
Porto Seguro,Seguradora,Kenoby,https://jobs.kenoby.com/porto-seguro/
Quinto Andar,Imoveis,Workable,https://apply.workable.com/quintoandar/
Sinch,Tecnologia,Workable,https://apply.workable.com/sinch/
Loggi,Logística,Workable,https://apply.workable.com/loggi
Brasilprev,Seguradora,Gupy,https://brasilprev.gupy.io/
will bank,Banco,Gupy,https://vemserwill.gupy.io/
MadeiraMadeira,Varejo,Gupy,https://madeiracarreira.gupy.io/